content_id,title,application,description,business_value,data_sources,suggested_roles,example_prompts,tags,difficulty_level,related_concepts
use_case_001,Document Analysis - General,"Upload and interpret or summarize multiple documents","Use AI to interpret long documents, summarize content, and identify key insights.","Reduced manual work, consistent formatting, enhanced research efficiency, improved compliance readiness.","Internal research; regulatory filings; compliance manuals; contracts","analyst; business strategist; compliance officer; CEO; customer manager","Summarize this document in simple terms.;Highlight key insights from this file.;Extract all risks from this policy.;Explain this section in plain English.;Compare these documents for consistency.","document_analysis; summarization; compliance",beginner,
use_case_002,Document Q&A Chat,"Ask questions about uploaded documents","Use AI to chat with a document, answer questions, and retrieve specific insights.","Faster document understanding, efficient information extraction, reduced search time.","10-K forms; financial reports; white papers; client commentary","analyst; CEO; product manager; business strategist; customer manager","Answer questions about this document.;What does section 3 mean?;Summarize the main risks.;Extract financial highlights.;Explain this paragraph to me.","document_qa; chat; analysis",beginner,
use_case_003,Document Comparison,"Compare documents to detect differences","Use AI to compare documents, detect changes, and highlight differences.","Quick identification of changes, improved version control, enhanced due diligence.","Contract versions; policy updates; financial statements","compliance officer; analyst; business strategist; operations lead","Compare these two versions.;Highlight all updated sections.;Summarize changes between draft and final.;Identify discrepancies across documents.;What changed in version 2024?","document_comparison; analysis; changes",beginner,
use_case_004,Document Generation - Compliance Reports,"Generate compliance reports and disclosures","Use AI to fill templates and produce compliance-ready reports.","Simplified drafting, improved formatting consistency, reduced compliance preparation time.","Internal templates; regulatory requirements; business data; compliance guidelines","compliance officer; operations; business strategist; CEO","Generate a compliance summary from this document.;Fill this template with key compliance sections.;Draft a regulatory disclosure.;Create a structured audit report.;Reformat this into a compliance-ready format.","document_generation; compliance; reporting",intermediate,
use_case_005,Document Generation - Client Communications,"Draft client-facing communications","Use AI to write professional and client-ready documents.","Faster writing, consistent tone, improved communication quality.","Client info; communication templates; brand guidelines","sales; customer manager; CEO; product manager","Draft a client update email.;Generate a client meeting summary.;Write commentary based on these points.;Convert notes into a client-ready format.;Improve tone for professional communication.","document_generation; communication; client",beginner,
use_case_006,Report Summarization,"Generate executive or persona-specific summaries","Use AI to summarize reports in different tones or personas.","Quick executive summaries, tailored messaging for different audiences.","10-K forms; Fed projections; white papers","CEO; analyst; business strategist; sales","Summarize this report for executives.;Create a bullet-point summary.;Explain this for a non-technical audience.;Extract insights for investors.;Summarize from a PM perspective.","summarization; reporting; persona",beginner,
use_case_007,Meeting Agenda Generation,"Create meeting agendas from templates","Use AI to fill agenda templates using topics or meeting goals.","Faster agenda creation, standardized meeting structure.","Templates; topic list; objectives","operations lead; sales; product manager; CEO","Generate an agenda from these topics.;Fill the agenda template.;Create a client meeting agenda.;Build an agenda for internal update.;Summarize topics into an agenda.","meeting_prep; agenda; document_generation",beginner,
use_case_008,Meeting Prep - Slide Feedback,"Get AI feedback on slide content","Use AI to review slide content and provide actionable improvements.","Better slide quality, improved clarity and storytelling.","Slide decks; presentation templates","sales; CEO; product manager; analyst","Review these slides for clarity.;Suggest improvements for this deck.;Rewrite unclear slide text.;Simplify these bullets.;Improve the narrative flow.","meeting_prep; presentation; feedback",beginner,
use_case_009,Meeting Rehearsal,"Practice presentations with AI personas","Use AI to simulate Q&A sessions and rehearse presentations.","Improved confidence, better preparation, anticipated questions.","Slide decks; persona context","sales; CEO; customer manager; product manager","Ask me tough questions as a client.;Simulate Q&A for this deck.;Give feedback on my explanation.;Act as an investor and ask questions.;Test my pitch for clarity.","meeting_prep; rehearsal; qa; persona",intermediate,
use_case_010,Email Drafting,"Generate emails based on key points","Use AI to write new emails based on purpose and audience.","Faster email creation, consistent tone.","Email templates; brand voice guidelines","sales; CEO; HR; customer support; recruiter","Draft an email based on these points.;Write a client follow-up email.;Generate a professional response.;Write a friendly but formal email.;Create an outreach email.","email; communication; drafting",beginner,
use_case_011,Email Editing,"Improve clarity and tone of emails","Use AI to rephrase emails with better grammar and audience alignment.","Improved clarity, better tone, polished communication.","Email text; writing guidelines","all roles; recruiter; customer support; sales","Rewrite this email professionally.;Improve tone for this email.;Make this shorter and clearer.;Correct grammar and phrasing.;Adjust tone for executives.","email; editing; optimization",beginner,
use_case_012,Email Optimization,"Optimize email clarity, tone, and structure","Use AI to improve communication effectiveness.","More productive communication, consistent brand voice.","Email templates; style guides","HR; recruiter; sales; customer support","Improve tone and readability.;Optimize this email.;Rewrite to sound more confident.;Shorten this message.;Make this more persuasive.","email; optimization; communication",beginner,
